href,aria_label,full_url,article_text,date_published
https://www.facebook.com/dhakatribune,Facebook,https://www.facebook.com/dhakatribune,,NA
https://twitter.com/DhakaTribune,Twitter,https://twitter.com/DhakaTribune,NA,NA
https://www.pinterest.com/dhakatribuneonline,Pinterest,https://www.pinterest.com/dhakatribuneonline,,NA
https://www.youtube.com/DhakaTribuneOnline,YouTube,https://www.youtube.com/DhakaTribuneOnline,,NA
https://www.linkedin.com/company/dhaka-tribune,LinkedIn,https://www.linkedin.com/company/dhaka-tribune,"
          Discover all 552 employees
         
              Dhaka Tribune, national English daily in Bangladesh. Find breaking news, multimedia, opinion, and analysis on politics, business and world affairs. Get 24/7 coverage on national, international news, entertainment, sports and more.
           External link for Dhaka Tribune 
                      8/C Panthapath
                     
                      Shukrabad
                     
                          Dhaka, BD
                     
                53,099 followers
             Khaleda returned home after nearly four months of advanced treatment in London, while Zubaida returned, ending her 17-year exile in London

Details: https://lnkd.in/gP_vB76C

#KhaledaZia #BNP #BangladeshPolitics #Firoza #Homecoming #DhakaNews #DhakaTribune 
                53,099 followers
             'We are advancing discussions with political parties both formally and informally'

Details: https://lnkd.in/gUTk4Xvj

#NationalCharter #BangladeshPolitics #PoliticalDialogue #StateReform #DhakaTribune 
                53,099 followers
             Akhtar Hossain says that the fundamental reforms must reflect three basic issues: balance of power, accountability, and decentralization

Details: https://lnkd.in/gRfud8zB

#BangladeshPolitics #StateReform #NCP #ConsensusCommission #DhakaTribune #Accountability 
                53,099 followers
             Hero Alom claims he is the victim of a conspiracy

Details: https://lnkd.in/g_bPK8Ex

#HeroAlom #Bogra #RapeCase #DhakaTribune #BangladeshNews #CrimeUpdate 
                53,099 followers
             The commission has already held talks with 25 political parties

Details: https://lnkd.in/g_RpyfKS

#NCP #ReformDialogue #NationalConsensus #DhakaTribune #BangladeshPolitics #NewsUpdate 
                53,099 followers
             The child was four years old

Details: https://lnkd.in/gGuTkJzE

#DhakaTribune #ChildSafety #LycheeChoking #SherpurNews #HealthAlert 
                53,099 followers
             Khaleda Zia had travelled to London on January 8 in the special air ambulance sent by the Emir of Qatar

Details: https://lnkd.in/gdfMtiyB

#dhakatribune #NewsUpdate #politics #BNPNEWS #MirzaFakhrul #KhaledaZia 
                53,099 followers
             All tickets must be purchased online

Details: https://lnkd.in/gaSyJg-Z

#EidTravel #TrainTickets #BangladeshRailway #EidUlAzha #OnlineTickets #DhakaTribune 
                53,099 followers
             DMP has urged Hajj pilgrims, outbound international travelers, and SSC candidates to leave home early and allow extra travel time

Details: https://lnkd.in/gBzK4y3u

#DhakaTraffic #KhaledaZia #DMPAlert #DhakaNews #PublicTransport #DhakaTribune 
                53,099 followers
             â¢ Khaleda Zia returned after 4 months of treatment in London
â¢ Zubaida Rahman came back after 17 years

Details: https://lnkd.in/g3wUVsCe

#KhaledaZiaReturns #BNP #ZubaidaRahman #DhakaPolitics #BangladeshNews #DhakaTribune 
              
        Newspaper Publishing
      
             
              
        Newspaper Publishing
      
             
              
        Newspaper Publishing
      
             
              
        Dhaka, Dhaka
      
             
              
        Broadcast Media Production and Distribution
      
             
              
        Dhaka, Dhaka
      
             
              
        Broadcast Media Production and Distribution
      
             
              
        Dhaka, Dhaka
      
             
              
        Telecommunications
      
             
              
        E-Learning Providers
      
             
              
        Financial Services
      
             
              
        Dhaka, Dhaka
      
             
              
        Non-profit Organizations
      
             
              
        Consumer Services
      
             
              Agree & Join LinkedIn
             
      By clicking Continue to join or sign in, you agree to LinkedInâs User Agreement, Privacy Policy, and Cookie Policy.
       
              or
             
      By clicking Continue to join or sign in, you agree to LinkedInâs User Agreement, Privacy Policy, and Cookie Policy.
     
                New to LinkedIn? Join now
               
                      or
                     
                New to LinkedIn? Join now
               
      By clicking Continue to join or sign in, you agree to LinkedInâs User Agreement, Privacy Policy, and Cookie Policy.
    ",NA
https://www.instagram.com/dhakatribune,Instagram,https://www.instagram.com/dhakatribune,,NA
https://news.google.com/publications/CAAqBwgKMMitpQswi7i9Aw?ceid=US:en,Google News,https://news.google.com/publications/CAAqBwgKMMitpQswi7i9Aw?ceid=US:en,,NA
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380495/khaleda-along-with-two-daughters-in-law-reaches,Khaleda along with two daughters-in-law reaches Firoza,https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380495/khaleda-along-with-two-daughters-in-law-reaches,"Khaleda returned home after nearly four months of advanced treatment in London, while Zubaida returned, ending her 17-year exile in London BNP Chairperson Khaleda Zia reached her Gulshan residence from Hazrat Shahjalal International Airport, as she returned from London along with her two daughters-in-law: Tarique Rahman’s wife Dr Zubaida Rahman and late Arafat Rahman Koko’s wife Syeda Shamila Rahman. A vehicle with Khaleda seated in the front seat, while her two daughters-in-law occupied the rear seats, left the airport around 11:15am and reached her house, Firoza, around 1:25pm amid tight security measures. A Qatari royal air ambulance carrying Khaleda and her entourage landed at Hazrat Shahjalal International Airport at 10:42am, said BNP Media Cell member Sayrul Kabir Khan. Khaleda returned home after nearly four months of advanced treatment in London, while Zubaida returned, ending her 17-year exile in London. Meanwhile, BNP Secretary General Mirza Fakhrul Islam Alamgir, along with several senior party leaders, welcomed Khaleda at the airport. The special air ambulance, provided by Qatar’s Emir Sheikh Tamim bin Hamad Al Thani, departed Heathrow Airport at around 9:35pm on Monday, carrying Khaleda and her entourage. It reached Dhaka after a stopover in Qatar. The leaders and activists of the BNP and its associate bodies welcomed her, standing along the footpaths stretching from Airport Road to Gulshan Avenue to greet their beloved leader and party chief. BNP supporters began assembling along both sides of the nearly 10-kilometre route from early morning, holding national and party flags to welcome Khaleda on her return. Khaleda Zia had travelled to London on January 8 in a special air ambulance sent by the Emir of Qatar. Upon arrival, she was admitted to the London Clinic, a private hospital, where she remained under the care of renowned specialists Professor Patrick Kennedy and Professor Jennifer Cross for 17 days. Since 25 January, she had been receiving treatment at the residence of her elder son, Tarique Rahman. Following her discharge from the London Clinic, she continued her recovery under the supervision of Professors Kennedy and Cross at Tarique Rahman’s residence. Her residence ‘Firoza’ located at House 1, Road 80, was fully prepared to welcome her. Upon her return, stringent security measures were observed around Khaleda’s residence. Members of the armed forces, along with law enforcement agencies, were deployed to ensure her safety. On Tuesday morning, the road in front of Firoza was seen closed to vehicular traffic, with only limited pedestrian access. A tight security perimeter was established by law enforcement officials. The premises had been thoroughly cleaned and decorated with flower pots in the garden, and utilities such as electricity, gas, and water supplies were checked, according to Sayrul Kabir Khan. Surrounded by high walls, the residence features a security room at the entrance, where members of the police and the Chairperson’s Security Force (CSF) are stationed in shifts to ensure round-the-clock security. Sayrul noted that all rooms inside the house had been cleaned, with the front garden decorated with flower pots, adding a touch of colour and warmth in anticipation of her arrival.",NA
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380500/shafiqul-10-days-holiday-for-eid-ul-azha,Eid-ul-Azha brings 10-day holiday this year,https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380500/shafiqul-10-days-holiday-for-eid-ul-azha,"There were 9 consecutive days of holidays from March 28 to April 5 for the holy Eid-ul-Fitr A 10-day holiday has been declared on the occasion of the holy Eid-ul-Azha. The advisory council of the interim government has declared this holiday. This decision was taken at the meeting of the advisory council at the secretariat on Tuesday. The decision was announced on the verified Facebook page of the Chief Adviser's Press Secretary, Shafiqul Alam.  There were nine consecutive days of holidays from March 28 to April 5 for the holy Eid-ul-Fitr. The government had previously declared five consecutive days of holidays on the occasion of Eid. There was an additional day of holiday declared by executive order.",NA
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/government-affairs/380494/ali-riaz-second-phase-of-dialogue-soon-after-may,Ali Riaz: Second phase of dialogue soon after May 15,https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/government-affairs/380494/ali-riaz-second-phase-of-dialogue-soon-after-may,"'We are advancing discussions with political parties both formally and informally' National Consensus Commission Vice Chairman Prof Ali Riaz on Tuesday said the second phase of dialogue aimed at preparing a National Charter will begin soon after May 15. “The first phase of discussions will conclude by May 15. After that, we will be able to enter the second phase, which will begin soon,” he said while presiding over a discussion with the National Citizen Party (NCP) at the LD Hall of the Jatiya Sangsad Bhaban. A four-member NCP delegation, led by its member secretary Akhtar Hossain, joined the talks with the National Consensus Commission on the second day of discussions. At the outset of the meeting, the NCP submitted its outlines for fundamental reforms to the National Consensus Commission. Akhtar Hossain handed over the document to Prof Ali Riaz. “We are advancing discussions with political parties both formally and informally. Through this process, we are trying to formulate a National Charter that aims to outline the path to establishing a democratic state in the future,” Prof Riaz said. He noted that the reform outlines submitted by the NCP would certainly assist in drafting the National Charter. The NCP delegation also included its chief organizer for the northern region, Sarjis Alam, and Joint Conveners Sarwar Tushar and Jabed Rasin. Members of the Consensus Commission—Safar Raj Hossain, Justice Emdadul Haque, Dr Badiul Alam Majumdar, Dr Iftekharuzzaman, and Dr Mohammad Ayub Miah—were present at the discussion, which was moderated by the Chief Adviser’s Special Assistant, Monir Haider. The meeting is part of a series of dialogues with political parties aimed at building a national consensus on state reform initiatives undertaken by the interim government. Earlier, on April 18, the NCP participated in discussions with the commission. The party had also submitted its written opinions on the reform recommendations on March 24. The National Consensus Commission launched its dialogue series with political parties on March 20, aiming to develop a united stance on the interim government's reform efforts. So far, the commission has held discussions with 25 political parties. The commission, formed under the leadership of Chief Adviser Professor Muhammad Yunus, has been working since February 15, 2025, to finalize its recommendations for crucial state reforms.",NA
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380487/khaleda-lands-in-dhaka,Khaleda lands in Dhaka,https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380487/khaleda-lands-in-dhaka,"BNP Chairperson Khaleda Zia, along with her two daughters-in-law, including Tareque Rahman’s wife Dr Zubaida Rahman, returned home on Tuesday after nearly four months of advanced treatment in London. A Qatari royal air ambulance carrying Khaleda and her entourage landed at Hazrat Shahjalal International Airport at 10:42am, said BNP Media Cell member Sayrul Kabir Khan. Meanwhile, BNP Secretary General Mirza Fakhrul Islam Alamgir, along with several senior party leaders, arrived at the airport around 8:30am to receive Khaleda. Talking to reporters at the airport, Fakhrul expressed the hope that the return of party chairperson Begum Khaleda Zia would facilitate the restoration and advancement of democracy in the country. “She went abroad for treatment after years of suffering under fascist oppression. With the fall of fascism, she was finally able to receive proper medical care. After nearly four months of treatment, she is returning home today. It's a matter of great joy for us and the people,” said the BNP leader. The special air ambulance, provided by Qatar’s Emir Sheikh Tamim bin Hamad Al Thani, departed Heathrow Airport at around 9:35pm on Monday, carrying Khaleda and her entourage. Meanwhile, leaders and activists of the BNP and its associate bodies gathered along the footpaths stretching from the Airport road to Gulshan Avenue to welcome their beloved leader and party chief. BNP supporters began assembling along both sides of the nearly 10-kilometre route since early morning, holding national and party flags to greet Khaleda on her return. Earlier on Monday, Mirza Fakhrul Islam Alamgir had urged everyone not to stand on the road in any manner. “Those wishing to welcome Madam should stand on the footpath and greet her from there. We have instructed that party leaders and activists may hold national and BNP flags while receiving her,” he said. He urged party members to remain vigilant and avoid causing traffic congestion while welcoming the BNP chief, as an SSC examination is scheduled for Tuesday. Dhaka Metropolitan Police (DMP) also issued a notice on Monday, warning of potential traffic congestion in the Gulshan-Banani area due to excessive crowds gathering to welcome Khaleda. It also released a set of parking guidelines for the vehicles of journalists and arriving guests to ensure public safety and minimise disruption to city traffic. Khaleda Zia had travelled to London on 8 January in a special air ambulance sent by the Emir of Qatar. Upon arrival, she was admitted to the London Clinic, a private hospital, where she remained under the care of renowned specialists Professor Patrick Kennedy and Professor Jennifer Cross for 17 days. Since 25 January, she had been receiving treatment at the residence of her elder son, Tarique Rahman. Following her discharge from the London Clinic, she continued her recovery under the supervision of Professors Kennedy and Cross at Tarique Rahman’s residence. Meanwhile, the BNP chief’s Gulshan residence, ‘Firoza’, located at House 1, Road 80, has been fully prepared to welcome her. Upon her return, stringent security measures were observed around Khaleda’s residence. Members of the armed forces, along with law enforcement agencies, were deployed to ensure her safety. On Tuesday morning, the road in front of Firoza was seen closed to vehicular traffic, with only limited pedestrian access. A tight security perimeter was established by law enforcement officials. The premises had been thoroughly cleaned and decorated with flower pots in the garden, and utilities such as electricity, gas, and water supplies were checked, according to Sayrul Kabir Khan. Surrounded by high walls, the residence features a security room at the entrance, where members of the police and the Chairperson’s Security Force (CSF) are stationed in shifts to ensure round-the-clock security. Sayrul noted that all rooms inside the house had been cleaned, with the front garden decorated with flower pots, adding a touch of colour and warmth in anticipation of her arrival. Tarique, Dr Zubaida, and their daughter Zaima Rahman have been living in London since 2008. After 17 years in exile, Dr Zubaida Rahman also returned home with her mother-in-law, intending to stay at her father’s residence in Dhanmondi. Her father’s house, known as Mahbub Bhaban, located on Road 5 of Dhanmondi, has also been prepared to receive Zubaida. Although the house is well-maintained, additional arrangements have been made to ensure Zubaida’s comfort and security. Officials from the police and intelligence agencies have already inspected the property and outlined necessary security measures, as the BNP wrote to the Inspector General of Police requesting armed protection, a police presence at the residence, and the installation of an archway scanner, citing potential security threats to her.",NA
