href,aria_label
https://www.facebook.com/dhakatribune,Facebook
https://twitter.com/DhakaTribune,Twitter
https://www.pinterest.com/dhakatribuneonline,Pinterest
https://www.youtube.com/DhakaTribuneOnline,YouTube
https://www.linkedin.com/company/dhaka-tribune,LinkedIn
https://www.instagram.com/dhakatribune,Instagram
https://news.google.com/publications/CAAqBwgKMMitpQswi7i9Aw?ceid=US:en,Google News
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380495/khaleda-along-with-two-daughters-in-law-reaches,Khaleda along with two daughters-in-law reaches Firoza
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380500/shafiqul-10-days-holiday-for-eid-ul-azha,Eid-ul-Azha brings 10-day holiday this year
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/government-affairs/380494/ali-riaz-second-phase-of-dialogue-soon-after-may,Ali Riaz: Second phase of dialogue soon after May 15
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380487/khaleda-lands-in-dhaka,Khaleda lands in Dhaka
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/government-affairs/380493/ncp-submits-outlines-to-consensus-commission-for,NCP submits outlines to Consensus Commission for basic reforms
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380489/fakhrul-khaleda%E2%80%99s-return-to-help-restore,Fakhrul: Khaleda’s return to help restore democracy
https://www.dhakatribune.com///www.dhakatribune.com/opinion/op-ed/380476/the-woes-of-entrepreneurs-in-bangladesh,The woes of entrepreneurs in Bangladesh
https://www.dhakatribune.com///www.dhakatribune.com/opinion/op-ed/380477/wrong-way-drivers-and-the-art-of-governance,Wrong-way drivers and the art of governance
https://www.dhakatribune.com///www.dhakatribune.com/opinion/specials/380475/climate-change-and-its-impact-on-regional,Climate change and its impact on regional security: A South Asian perspective
https://www.dhakatribune.com///www.dhakatribune.com/opinion/editorial/380474/a-higher-tax-free-income-ceiling-is-the-correct,A higher tax-free income ceiling is the correct move
https://www.dhakatribune.com///www.dhakatribune.com/opinion/editorial/380473/local-investment-building-our-future,Local investment building our future
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/government-affairs/380498/press-wing-debunks-the-hindu-report-on-targeting,Press wing debunks The Hindu report on targeting journalists by government
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380485/advance-train-ticket-sales-for-eid-ul-azha-to,Advance train ticket sales for Eid-ul-Azha to begin on May 21
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380486/cngs-motorcycles-allowed-on-expressway-for-six,"CNGs, motorcycles allowed on expressway for 6 hours Tuesday"
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/nation/380491/hero-alom-sued-for-rape-and-abuse-over-false,"Hero Alom sued for rape, abuse over false marriage, stardom promises"
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/health/380467/what-are-the-key-proposals-of-the-health-reform,What are the key proposals of the Health Reform Commission?
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380483/bnp-activists-flock-to-airport-to-welcome-khaleda,Thousands of BNP activists flood Dhaka roads to welcome Khaleda
https://www.dhakatribune.com///www.dhakatribune.com/business/380479/national-food-security-policy-now-top-priority,Commerce Adviser: National food security policy now top priority
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/380488/child-dies-after-choking-on-lychee-seed-in-sherpur,Child dies after choking on lychee seed in Sherpur
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/politics/380496/sarjis-alam-welcomes-khaleda-zia-in-facebook-post,Sarjis Alam welcomes Khaleda Zia in Facebook post
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/nation/380492/female-worker-killed-by-speeding-truck-in-gazipur,Workers block highway in protest after colleague killed by truck in Gazipur
https://www.dhakatribune.com///www.dhakatribune.com/bangladesh/dhaka/380490/ncp-joins-talks-with-consensus-commission-for-2nd,NCP joins talks with Consensus Commission for 2nd day
https://www.dhakatribune.com///www.dhakatribune.com/video/379032/%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%8D%E0%A6%AC%E0%A6%BE%E0%A6%9A%E0%A6%A8-%E0%A6%A8%E0%A6%BF%E0%A6%AF%E0%A6%BC%E0%A7%87-%E0%A6%9C%E0%A6%BE%E0%A6%A4%E0%A7%80%E0%A6%AF%E0%A6%BC-%E0%A6%A8%E0%A6%BE%E0%A6%97%E0%A6%B0%E0%A6%BF%E0%A6%95-%E0%A6%AA%E0%A6%BE%E0%A6%B0%E0%A7%8D%E0%A6%9F%E0%A6%BF%E0%A6%B0-%E0%A6%AD%E0%A6%BE%E0%A6%AC%E0%A6%A8%E0%A6%BE,নির্বাচন নিয়ে জাতীয় নাগরিক পার্টির ভাবনা
